feature,block,condition,type,definition,observed_rho,n_nonmissing,pct_nonmissing,imputation,source,imp_mean,imp_sd
lof.oe_ci.upper,genetic,,continuous,"LOEUF, the upper bound of the 90% CI on the observed/expected ratio of loss-of-function variants. Lower means more constrained.",-0.5671,17960,92.09,training-row median within each bagging iteration; zero if entirely missing within a fit,gnomAD v4.1.0 gene constraint metrics,0.0581349641643464,0.0134525280344978
mis.z_score,genetic,,continuous,Missense constraint Z-score: depletion of missense variation relative to expectation.,0.7258,19427,99.62,training-row median within each bagging iteration; zero if entirely missing within a fit,gnomAD v4.1.0 gene constraint metrics,0.1273368675261736,0.0172505175142151
IEI,genetic,,binary,Binary membership of the inborn-errors-of-immunity gene list.,0.2476,19502,100.0,not imputed (no missing values),IUIS inborn-errors-of-immunity gene list,0.122321073487401,0.0148799084447882
gwas_score,genetic,,continuous,"Per-gene GWAS association score for immune indications. Distinct from the broader OT_genetic_immune comparator, and 54-64% zero-inflated by drug-status group.",0.2569,19502,100.0,not imputed (no missing values),"Open Targets Platform 26.06, immune-indication GWAS score",0.0644949806295335,0.0090774712209703
gene_burden_score,genetic,,continuous,"Per-gene rare-variant burden association score for immune indications. Distinct from gwas_score, which aggregates common-variant credible sets from the same platform release. Fully observed but 99.6% zero-inflated: 85 of 19,502 genes carry a non-zero score, so a zero records absence of burden evidence rather than absence of measurement.",0.0495,19502,100.0,not imputed (no missing values),"Open Targets Platform 26.06, gene_burden datasource",0.0001314361020922,0.001854134390412
zscore_Th1,observational,,continuous,"Differential-expression z-score, Th1-polarized versus resting Th0.",0.0641,9944,50.99,training-row median within each bagging iteration; zero if entirely missing within a fit,"Zhu, Dann et al. 2025 (bioRxiv), Th-vs-Th0 differential expression",0.0478450922016054,0.0097855529875644
zscore_Th2,observational,,continuous,"Differential-expression z-score, Th2-polarized versus resting Th0.",0.0286,9944,50.99,training-row median within each bagging iteration; zero if entirely missing within a fit,"Zhu, Dann et al. 2025 (bioRxiv), Th-vs-Th0 differential expression",0.043082824954763,0.0068835610137935
zscore_Th17,observational,,continuous,"Differential-expression z-score, Th17-polarized versus resting Th0.",-0.1406,9949,51.02,training-row median within each bagging iteration; zero if entirely missing within a fit,"Zhu, Dann et al. 2025 (bioRxiv), Th-vs-Th0 differential expression",0.0510704920999705,0.0097955127944353
zscore_Treg,observational,,continuous,"Differential-expression z-score, Treg-polarized versus resting Th0.",-0.034,9944,50.99,training-row median within each bagging iteration; zero if entirely missing within a fit,"Zhu, Dann et al. 2025 (bioRxiv), Th-vs-Th0 differential expression",0.0475342017784714,0.0085111281163563
expected_n_regulators_residuals,perturbational,across-condition summary (mean of 3),continuous,Trans-regulatory burden. The incoming-regulator count (perturbations significantly moving the gene's expression) is regressed on log10 mean expression with a Poisson GLM per condition; the residual is burden in excess of what expression predicts. The three condition-specific residuals are averaged into one value before modelling.,0.4351,10268,52.65,training-row median within each bagging iteration; zero if entirely missing within a fit,"Zhu, Dann et al. 2025 (bioRxiv), genome-scale CD4+ T-cell perturb-seq screen",0.0608140202984213,0.0104668886483411
